ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq1437	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	NA	0	0	5	0	0	0	0	0
sq1438	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	7	0	3	0	0	3	0	2
sq1439	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA	4	0	0	0	0	0	0	0
sq1440	Bacteria	NA	NA	NA	NA	NA	0	4	5	2	0	0	0	4
sq1441	Bacteria	NA	NA	NA	NA	NA	2	0	0	2	0	7	0	0
sq1442	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	NA	6	1	0	0	0	3	0	0
sq1443	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	1	0	4	0	0	0	0	0
sq1444	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	UBA5794	NA	1	0	3	1	0	0	0	0
sq1445	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	0	1	0	0	0	0	0	0
sq1446	Bacteria	NA	NA	NA	NA	NA	1	0	0	2	0	0	0	5
sq1447	Bacteria	Chloroflexota	NA	NA	NA	NA	3	0	2	1	0	0	0	0
sq1448	Bacteria	Armatimonadota	UBA5377	UBA5377	JABLXH01	JABLXH01	0	0	0	0	0	0	0	0
sq1449	Bacteria	Actinomycetota	Humimicrobiia	Humimicrobiales	Humimicrobiaceae	NA	0	8	0	0	0	0	0	0
sq1450	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	NA	9	0	0	0	0	2	0	0
sq1451	Bacteria	NA	NA	NA	NA	NA	3	0	4	0	0	0	0	0
sq1452	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	0	0	2	0	0	0	0	7
sq1453	Bacteria	Planctomycetota	Phycisphaerae	SM23-33	SM23-33	NA	4	1	7	0	0	0	0	0
sq1454	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	7	0	0	0	0	0	0	0
sq1455	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	NA	NA	2	0	4	0	0	0	0	1
sq1456	Bacteria	Omnitrophota	Koll11	NA	NA	NA	4	0	3	1	0	1	0	0
sq1457	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	1	0	0	0	0	0	0	0
sq1458	Bacteria	Chloroflexota	NA	NA	NA	NA	1	0	0	0	0	0	0	0
sq1459	Bacteria	NA	NA	NA	NA	NA	2	0	0	0	0	0	0	2
sq1460	Bacteria	Patescibacteria	NA	NA	NA	NA	7	3	1	0	0	0	0	0
sq1461	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	0	0	0	0	0	0	0	0
sq1462	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella_A	0	0	0	0	0	0	0	0
sq1463	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
sq1464	Bacteria	Planctomycetota	Phycisphaerae	SM23-33	SM23-33	NA	0	7	0	16	0	0	0	0
sq1465	Bacteria	Bacillota	Bacilli	MAG-NZ	MAG-NZ	Zrk6	3	0	0	0	0	0	0	1
sq1466	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	W498	W498	3	0	0	0	0	0	0	0
sq1467	Bacteria	Chloroflexota	NA	NA	NA	NA	9	4	4	0	0	0	0	0
sq1468	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	4	5	9	6	0	0	0	0
sq1469	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	1	1	0	0	0	0	0	5
sq1470	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA	1	1	2	0	1	0	0	0
sq1471	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	1	0	0	1	0	0	0	0
sq1472	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	6	0	1	2	0	0	0	0
sq1473	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	UBA1268	5	3	0	5	0	0	0	4
sq1474	Bacteria	Chloroflexota	Limnocylindria	Limnocylindrales	CSP1-4	NA	3	1	4	0	0	0	0	0
sq1475	Bacteria	Chloroflexota	NA	NA	NA	NA	0	0	2	0	0	0	0	0
sq1476	Bacteria	Armatimonadota	UBA5377	UBA5377	NA	NA	0	2	0	0	0	0	0	0
sq1477	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	5	6	0	1	0	0	0	0
sq1478	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	0	0	0	0	0	0	0	0
sq1479	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	0	7	0	0	0	0	0	0
sq1480	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	AB-539-J10	NA	0	0	0	0	0	1	1	0
sq1481	Bacteria	WOR-3	UBA3072	UBA3072	UBA3072	UBA3072	0	10	0	6	0	0	0	7
sq1482	Bacteria	NA	NA	NA	NA	NA	0	2	0	0	0	0	0	0
sq1483	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	1
sq1484	Bacteria	NA	NA	NA	NA	NA	2	0	1	0	0	0	0	0
sq1485	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	NA	0	0	0	0	0	0	0	0
sq1486	Bacteria	Planctomycetota	Brocadiia	Brocadiales	2-02-FULL-50-16-A	JAMXCW01	0	1	1	1	0	1	0	0
sq1487	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
sq1488	Bacteria	Spirochaetota	Spirochaetia	ARS1246	ARS1246	JAJRYZ01	0	0	0	0	0	2	0	0
sq1489	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	NA	2	0	0	0	0	0	0	0
sq1490	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA	12	1	0	0	0	0	0	0
sq1491	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	0	0	0	0	0	0	0	0
sq1492	Bacteria	Actinomycetota	Acidimicrobiia	UBA5794	UBA5794	JAHEEL01	0	0	0	0	0	0	0	0
sq1493	Bacteria	NA	NA	NA	NA	NA	2	5	1	1	0	0	0	0
sq1494	Bacteria	NA	NA	NA	NA	NA	8	0	4	2	0	1	0	0
sq1495	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	0	0	0	0	0	0	0	0
sq1496	Bacteria	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	0
sq1497	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36	JABDJL01	1	10	0	1	0	0	0	0
sq1498	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	NA	NA	4	6	4	4	0	0	0	3
sq1499	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	NA	NA	0	0	0	0	0	0	0	0
sq1500	Bacteria	NA	NA	NA	NA	NA	1	0	6	3	0	7	0	0
sq1501	Bacteria	NA	NA	NA	NA	NA	2	0	0	4	0	0	0	0
sq1502	Bacteria	Zixibacteria	MSB-5A5	GN15	Feb 12	NA	0	0	0	0	0	0	0	0
sq1503	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA	2	0	2	0	0	0	0	0
sq1504	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	3	0	0	1	0	0	0	0
sq1505	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	NA	0	0	0	0	0	0	0	0
sq1506	Bacteria	VGIX01	VGIX01	VGIX01	VGIX01	NA	0	0	1	0	0	0	0	0
sq1507	Bacteria	NA	NA	NA	NA	NA	3	0	1	7	0	1	0	0
sq1508	Bacteria	Spirochaetota	Spirochaetia	NA	NA	NA	7	3	12	9	0	2	0	0
sq1509	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	3	0	3	0	0	0	0	0
sq1510	Bacteria	Planctomycetota	NA	NA	NA	NA	0	3	0	0	0	0	0	0
sq1511	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	0	0	0	0	0	0	0	0
sq1512	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	11	0	0	0	0	0	0	0
sq1513	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA	2	3	12	1	0	2	0	0
sq1514	Bacteria	Planctomycetota	Phycisphaerae	FEN-1346	JAACEH01	JAAYDY01	10	4	0	2	0	0	0	0
sq1515	Bacteria	NA	NA	NA	NA	NA	8	1	0	0	0	0	0	5
sq1516	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0
sq1517	Bacteria	Planctomycetota	Brocadiia	SM23-32	SM23-32	NA	2	2	0	0	0	0	0	0
sq1518	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	0	0	0	0	0	0	0	0
sq1519	Bacteria	Bacillota_A	Clostridia	Lachnospirales	NA	NA	0	0	0	0	0	0	0	0
sq1520	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	1	0	2	2	0	0	0	3
