ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq192	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	0	0	0	53	85
sq193	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	37	15	15	21	1	11	1	3
sq194	Archaea	Thermoproteota	NA	NA	NA	NA	14	72	3	8	3	0	0	3
sq195	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	22	51	5	22	0	8	0	0
sq196	Archaea	Thermoplasmatota	Thermoplasmata	NA	NA	NA	2	0	4	8	0	0	0	0
sq197	Archaea	Thermoproteota	Bathyarchaeia	NA	NA	NA	20	27	9	6	0	1	0	0
sq198	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	34	14	16	39	1	14	0	0
sq199	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	23	28	7	13	0	2	0	0
sq200	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	18	36	3	19	0	2	0	0
sq201	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanocomedenaceae	Kmv04	8	5	10	8	0	0	0	0
sq202	Archaea	Thermoproteota	Bathyarchaeia	NA	NA	NA	18	25	21	26	0	0	0	0
sq203	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	2	0	0	0	0	18	38
sq204	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	45	26	7	21	0	0	0	0
sq205	Archaea	NA	NA	NA	NA	NA	12	50	51	37	1	0	2	1
sq206	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	12	0	6	9	0	3	0	1
sq207	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	JAJISJ01	21	13	4	73	1	8	0	0
sq208	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	JAJISJ01	7	1	6	38	2	5	0	0
sq209	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	0	0	0	29	50
